policy_id,regime,seed,days,total_demand,completed_loads,unmet_demand,demand_fulfillment_rate,effective_output,total_tco,total_tco_report_value,pm_cost,cm_cost,downtime_cost,degradation_cost,unmet_demand_cost,pm_count,pm_component_count,pm_tire,pm_engine,pm_brake,cm_count,cm_tire,cm_engine,cm_brake,failure_count,total_downtime_hours,avg_truck_hi,avg_tire_hi,avg_engine_hi,avg_brake_hi,avg_frailty,max_frailty,availability_rate,route_r_a1_loads,route_r_a2_loads,route_r_b1_loads,route_r_b2_loads,route_r_c1_loads,route_r_c2_loads,shovel_a_loads,shovel_b_loads,shovel_c_loads,crusher_1_loads,crusher_2_loads,pm_bay_utilization,max_simultaneous_pm,standby_reserve_activations,avg_selected_route_value,avg_selected_risk_penalty,avg_selected_capacity_score,avg_selected_queue_penalty,shortfall_sensitivity,target_effective_output,effective_output_shortfall,effective_output_shortfall_cost,effective_fulfillment_rate,avg_grade_per_load,total_tco_v1,total_tco_v2,total_tco_v2_report_value,congestion_alpha,congestion_beta,congestion_cost_level,congestion_cost_per_hour,congestion_delay_hours_hard,congestion_cost_hard,total_tco_v3_hard,congestion_delay_hours_total,route_queue_hours_total,shovel_queue_hours_total,crusher_queue_hours_total,congestion_cost,total_tco_v3,total_tco_v3_report_value,soft_congestion_start,soft_congestion_alpha,soft_congestion_beta,congestion_delay_hours_soft,congestion_cost_soft,total_tco_v4_soft_congestion,total_tco_v4_soft_congestion_report_value,avg_realized_cycle_time_min,avg_base_cycle_time_min,avg_realized_cycle_time_hours,avg_base_cycle_time_hours,completed_loads_per_hour,route_hhi,max_route_share,max_route_utilization,max_shovel_utilization,max_crusher_utilization,route_fallback_loads,route_rejected_loads,route_r_a1_attempts,route_r_a2_attempts,route_r_b1_attempts,route_r_b2_attempts,route_r_c1_attempts,route_r_c2_attempts,shovel_a_attempts,shovel_b_attempts,shovel_c_attempts,crusher_1_attempts,crusher_2_attempts,guard_skip_count,fallback_to_h4_count,route_guard_violation_count,shovel_guard_violation_count,crusher_guard_violation_count,risk_guard_violation_count
H0,heterogeneous_condition,101,90,18900,18900,0,1.0,5435640.0,9163.306803,9163306.803,3349.0,211.2,5445.6,157.506803,0.0,394,1182,394,394,394,22,22,0,0,22,4538,0.857074,0.887814,0.908946,0.951529,0.937723,2.4518,0.72363,4178,4145,4145,2213,2186,2033,8323,6358,4219,10509,8391,0.908796,2,0,0.652972,0.821473,47.764507,0.319824,base,5292000.0,0.0,0.0,1.027143,0.821714,9163.306803,9163.306803,9163306.803,1.0,2.0,base,0.5,1.531769,0.765885,9164.072688,1.531769,0.0,0.912857,0.618912,0.765885,9164.072688,9164072.688,0.85,0.1,2.0,27.731567,13.865784,9177.172587,9177172.587,24.91676,24.911897,0.415279,0.415198,8.75,0.18372,0.221058,0.810345,1.305556,1.242105,0,0,4178,4156,4151,2218,2186,2033,8334,6369,4219,10515,8407,0,0,0,0,0,0
H0,heterogeneous_condition,102,90,18900,18900,0,1.0,5433610.0,9618.806105,9618806.105,3349.0,412.8,5697.6,159.406105,0.0,394,1182,394,394,394,43,43,0,0,43,4748,0.82367,0.856644,0.912723,0.95227,0.873249,2.345799,0.72013,4146,4142,4119,2251,2209,2033,8288,6370,4242,10474,8426,0.908796,2,0,0.652901,0.805475,47.841261,0.318345,base,5292000.0,0.0,0.0,1.026759,0.821407,9618.806105,9618.806105,9618806.105,1.0,2.0,base,0.5,1.505705,0.752852,9619.558958,1.505705,0.0,0.904192,0.601512,0.752852,9619.558958,9619558.958,0.85,0.1,2.0,27.381004,13.690502,9632.496608,9632496.608,24.900752,24.895972,0.415013,0.414933,8.75,0.183062,0.219365,0.810345,1.305556,1.252632,0,0,4165,4164,4121,2251,2209,2033,8329,6372,4242,10495,8448,0,0,0,0,0,0
H0,heterogeneous_condition,103,90,18900,18899,1,0.999947,5433610.0,10136.063606,10136063.606,3349.0,633.6,5956.8,194.663606,2.0,394,1182,394,394,394,59,45,14,0,59,4964,0.805144,0.869247,0.857461,0.951318,0.992559,2.718937,0.716426,4144,4136,4148,2245,2190,2036,8280,6393,4226,10482,8417,0.908796,2,0,0.652911,1.018742,47.810212,0.318961,base,5292000.0,0.0,0.0,1.026759,0.821451,10136.063606,10136.063606,10136063.606,1.0,2.0,base,0.5,1.519269,0.759634,10136.823241,1.519269,0.0,0.903697,0.615572,0.759634,10136.823241,10136823.241,0.85,0.1,2.0,27.577916,13.788958,10149.852565,10149852.565,24.899751,24.894928,0.414996,0.414915,8.749537,0.183291,0.219483,0.810345,1.305556,1.242105,0,0,4170,4161,4154,2247,2190,2036,8331,6401,4226,10514,8444,0,0,0,0,0,0
H0,heterogeneous_condition,104,90,18900,18898,2,0.999894,5434380.0,9288.733081,9288733.081,3349.0,260.4,5508.0,167.333081,4.0,394,1182,394,394,394,27,26,0,1,27,4590,0.833531,0.843167,0.924642,0.940313,0.94391,2.700947,0.722759,4168,4144,4143,2215,2208,2020,8312,6358,4228,10519,8379,0.908796,2,0,0.653089,0.842127,47.769194,0.319687,base,5292000.0,0.0,0.0,1.026905,0.821611,9288.733081,9288.733081,9288733.081,1.0,2.0,base,0.5,1.530559,0.76528,9289.498361,1.530559,0.0,0.898624,0.631935,0.76528,9289.498361,9289498.361,0.85,0.1,2.0,27.735206,13.867603,9302.600684,9302600.684,24.907304,24.902445,0.415122,0.415041,8.749074,0.183604,0.220552,0.810345,1.305556,1.242105,0,0,4174,4152,4150,2217,2208,2024,8326,6367,4232,10532,8393,0,0,0,0,0,0
H0,heterogeneous_condition,105,90,18900,18900,0,1.0,5434870.0,9759.82732,9759827.32,3349.0,475.2,5758.8,176.82732,0.0,394,1182,394,394,394,43,30,13,0,43,4799,0.831131,0.872256,0.914811,0.931722,1.020715,2.576161,0.719167,4147,4154,4133,2247,2190,2029,8301,6380,4219,10470,8430,0.908796,2,0,0.652901,0.90341,47.838938,0.318481,base,5292000.0,0.0,0.0,1.026997,0.821598,9759.82732,9759.82732,9759827.32,1.0,2.0,base,0.5,1.494162,0.747081,9760.574401,1.494162,0.0,0.89267,0.601492,0.747081,9760.574401,9760574.401,0.85,0.1,2.0,27.28505,13.642525,9773.469845,9773469.845,24.915277,24.910533,0.415255,0.415176,8.75,0.183357,0.219788,0.810345,1.305556,1.242105,0,0,4166,4155,4134,2251,2196,2041,8321,6385,4237,10496,8447,0,0,0,0,0,0
H0,heterogeneous_condition,106,90,18900,18898,2,0.999894,5434660.0,8955.70351,8955703.51,3349.0,115.2,5325.6,161.90351,4.0,394,1182,394,394,394,12,12,0,0,12,4438,0.869419,0.915544,0.894515,0.947598,0.982959,2.36643,0.725296,4159,4158,4138,2218,2191,2034,8317,6356,4225,10488,8410,0.908796,2,0,0.652942,0.74702,47.783184,0.319351,base,5292000.0,0.0,0.0,1.026958,0.821653,8955.70351,8955.70351,8955703.51,1.0,2.0,base,0.5,1.50321,0.751605,8956.455115,1.50321,0.0,0.901884,0.601326,0.751605,8956.455115,8956455.115,0.85,0.1,2.0,27.372919,13.68646,8969.389969,8969389.969,24.917376,24.912603,0.41529,0.41521,8.749074,0.18359,0.220076,0.810345,1.305556,1.242105,0,0,4169,4160,4138,2218,2191,2034,8329,6356,4225,10498,8412,0,0,0,0,0,0
H0,heterogeneous_condition,107,90,18900,18899,1,0.999947,5434030.0,9945.055866,9945055.866,3349.0,548.4,5870.4,175.255866,2.0,394,1182,394,394,394,54,41,4,9,54,4892,0.803706,0.850981,0.911198,0.925312,0.96149,2.78374,0.717667,4154,4146,4139,2226,2203,2031,8300,6365,4234,10496,8403,0.908796,2,0,0.652972,0.924701,47.825146,0.318862,base,5292000.0,0.0,0.0,1.026839,0.821514,9945.055866,9945.055866,9945055.866,1.0,2.0,base,0.5,1.506411,0.753205,9945.809071,1.506411,0.0,0.89112,0.615291,0.753205,9945.809071,9945809.071,0.85,0.1,2.0,27.427777,13.713888,9958.769754,9958769.754,24.904468,24.899686,0.415074,0.414995,8.749537,0.183412,0.2198,0.810345,1.305556,1.252632,0,0,4163,4157,4145,2243,2205,2040,8320,6388,4245,10513,8440,0,0,0,0,0,0
H0,heterogeneous_condition,108,90,18900,18897,3,0.999841,5430215.0,10930.450219,10930450.219,3349.0,972.0,6396.0,207.450219,6.0,394,1182,394,394,394,92,60,14,18,92,5330,0.775449,0.869233,0.871492,0.893517,1.128587,3.150683,0.710259,4105,4128,4141,2263,2216,2044,8233,6404,4260,10462,8435,0.908796,2,0,0.653033,1.000046,47.889884,0.317576,base,5292000.0,0.0,0.0,1.026118,0.821025,10930.450219,10930.450219,10930450.219,1.0,2.0,base,0.5,1.498913,0.749456,10931.199676,1.498913,0.0,0.867171,0.631741,0.749456,10931.199676,10931199.676,0.85,0.1,2.0,27.331442,13.665721,10944.11594,10944115.94,24.871369,24.86661,0.414523,0.414443,8.748611,0.182721,0.219135,0.827586,1.305556,1.263158,0,0,4163,4145,4151,2266,2217,2047,8308,6417,4264,10531,8458,0,0,0,0,0,0
H0,heterogeneous_condition,109,90,18900,18900,0,1.0,5434485.0,8960.353569,8960353.569,3349.0,124.8,5334.0,152.553569,0.0,394,1182,394,394,394,13,13,0,0,13,4445,0.867919,0.878033,0.9489,0.939497,0.909119,2.084195,0.725167,4159,4148,4134,2223,2206,2030,8307,6357,4236,10499,8401,0.908796,2,0,0.653037,0.70722,47.802358,0.319079,base,5292000.0,0.0,0.0,1.026925,0.82154,8960.353569,8960.353569,8960353.569,1.0,2.0,base,0.5,1.501477,0.750738,8961.104307,1.501477,0.0,0.888352,0.613125,0.750738,8961.104307,8961104.307,0.85,0.1,2.0,27.372045,13.686022,8974.039591,8974039.591,24.906594,24.901827,0.41511,0.41503,8.75,0.183428,0.220053,0.810345,1.305556,1.242105,0,0,4168,4149,4136,2224,2206,2030,8317,6360,4236,10510,8403,0,0,0,0,0,0
H0,heterogeneous_condition,110,90,18900,18897,3,0.999841,5434170.0,10940.120382,10940120.382,3349.0,997.2,6378.0,209.920382,6.0,394,1182,394,394,394,87,51,33,3,87,5315,0.747663,0.794246,0.857606,0.929901,1.167516,3.047173,0.710407,4156,4151,4129,2240,2196,2025,8307,6369,4221,10481,8416,0.908796,2,0,0.652936,1.11411,47.832324,0.318658,base,5292000.0,0.0,0.0,1.026865,0.821622,10940.120382,10940.120382,10940120.382,1.0,2.0,base,0.5,1.547117,0.773559,10940.893941,1.547117,0.0,0.920702,0.626416,0.773559,10940.893941,10940893.941,0.85,0.1,2.0,27.905986,13.952993,10954.073375,10954073.375,24.915353,24.91044,0.415256,0.415174,8.748611,0.183403,0.219929,0.827586,1.333333,1.252632,0,0,4180,4161,4140,2252,2205,2045,8341,6392,4250,10525,8458,0,0,0,0,0,0
